timestamp,alpha_name,simulation_id,status,sharpe,fitness,turnover,margin,tests_pass,auto_submit
2026-07-19T15:25:04.046687,TS_2,ikwQ741b4HcbPAdOAFNjHw,TEST_FAIL,-0.56,-0.44,0.1764,-0.001226,False,False
2026-07-19T15:26:45.123472,TS_3,1MBqspcbP4Fycao15tGXiZPb,TEST_FAIL,-0.05,-0.02,0.041,-0.000614,False,False
2026-07-19T15:28:28.092906,TS_4,2dW4gdnp4z8a3wGY6tCvVc,TEST_FAIL,-0.01,-0.0,0.1541,-1e-05,False,False
2026-07-19T15:28:42.473468,TS_8,2aH4aAckK4pec6v193OEVjXk,FAILED,True,False
2026-07-19T15:28:58.402828,TS_9,3egVhYDH4j98NYew9sJtaU,FAILED,True,False
2026-07-19T15:31:47.968460,TS_10,4DijYWcdp4Zf9qYi5Lk26eJ,TEST_FAIL,0.04,0.01,0.015,0.001467,False,False
2026-07-19T15:31:55.354712,TS_12,1fgMpbcjA55faiGtyfVUDrs,FAILED,True,False
2026-07-19T15:32:29.953876,TS_13,2QO4Nfh0K5eDaOg1gqKY21YX,FAILED,True,False
2026-07-19T15:33:54.941666,TS_14,3cCqKd1Pn4BfaOoQbPaeqQC,TEST_FAIL,0.14,0.07,0.0124,0.005493,False,False
2026-07-19T15:35:24.923949,TS_15,2A1VBy6lR4Xo9aMvDcnsZ5C,TEST_FAIL,0.19,0.11,0.0115,0.007581,False,False
