timestamp,alpha_name,simulation_id,status
2026-07-19T12:56:22.767402,Alpha_1,N/A,FAILED
2026-07-19T12:56:23.071018,Alpha_2,N/A,FAILED
2026-07-19T12:56:23.391790,Alpha_3,N/A,FAILED
