timestamp,alpha_name,simulation_id,status,sharpe,fitness,turnover,margin,tests_pass,auto_submit
2026-07-19T16:50:00.080901,dyn_run_321,4dfMTlfCT5b6aNHEC7BnGYF,TEST_FAIL,0.4,0.22,0.0117,0.006556,False,False
2026-07-19T16:51:50.820939,val_strat_153,bJP4B2rJ58K8W3OmJ8SD0J,TEST_FAIL,-0.24,-0.13,0.0118,-0.005757,False,False
2026-07-19T16:54:05.849272,dyn_v2_817,287YeX7wZ5a4cx419WmiW4Ij,TEST_FAIL,-0.08,-0.03,0.2088,-0.000204,False,False
2026-07-19T16:55:59.524650,mid_model_673,38YQz4add4S8bIs1hdBSNCj3,TEST_FAIL,0.11,0.04,0.0162,0.001798,False,False
2026-07-19T16:57:41.078193,res_v1_174,4lKvzXdXt4UCai3Oi0UrhHU,TEST_FAIL,0.2,0.11,0.0313,0.00236,False,False
2026-07-19T16:59:51.776572,adp_v1_453,2qJbgn1NX4T08SE17Up9s9j5,TEST_FAIL,0.6,0.38,0.011,0.009279,False,False
2026-07-19T17:01:45.387735,vol_strat_709,ZJEKU9jg5gk9eODOYwg4Zy,TEST_FAIL,0.66,0.62,0.0063,0.035349,False,False
2026-07-19T17:03:17.043768,rev_v1_280,24q81t9e34Ni8wHhYdGZXOL,TEST_FAIL,0.65,0.49,0.0109,0.013107,False,False
2026-07-19T17:04:43.730667,adp_test_258,IVFC1ans5ipaTFVGVOskLj,TEST_FAIL,0.55,0.3,0.0058,0.012612,False,False
2026-07-19T17:06:15.857831,rev_v2_157,3kr5s0bOs4Kn9pWQPNks1VS,TEST_FAIL,0.49,0.29,0.0128,0.006884,False,False
2026-07-19T17:07:57.893301,adp_v2_803,4seZbB7gA5ahcfOgMpVyozT,TEST_FAIL,0.08,0.03,0.073,0.000423,False,False
2026-07-19T17:09:22.041727,rev_test_946,2cfabD6UN4F8cqVG4a8wyFU,TEST_FAIL,0.47,0.28,0.0129,0.006875,False,False
2026-07-19T17:11:00.969287,dyn_v2_856,4gtHuc60U5f6aL4mhiFDtwn,TEST_FAIL,0.06,0.02,0.0282,0.001078,False,False
2026-07-19T17:12:20.263843,ENS_dyn_run_321_val_strat_153,44Bh2X16z4jycGz158I3EXIx,TEST_FAIL,0.39,0.23,0.0124,0.006758,False,False
2026-07-19T17:13:43.524795,ENS_dyn_run_321_dyn_v2_817,zQUTB36W4OF9fwKIq6qhnW,TEST_FAIL,0.38,0.2,0.1487,0.000554,False,False
2026-07-19T17:15:17.427147,ENS_dyn_run_321_mid_model_673,3HyqtqaAS54Hb46sM85X80A,TEST_FAIL,0.4,0.24,0.027,0.003252,False,False
2026-07-19T17:17:09.492572,ENS_dyn_run_321_res_v1_174,33sMU64W352L9rsgCyfuNpm,TEST_FAIL,0.72,0.56,0.0378,0.004034,False,False
2026-07-19T17:18:32.855543,ENS_val_strat_153_dyn_v2_817,4bqtio8RG4rF9PPzT6snf5p,TEST_FAIL,0.43,0.22,0.1998,0.000501,False,False
2026-07-19T17:20:19.318893,ENS_val_strat_153_mid_model_673,3RdStA4Dz56P9z4mCmqjcRP,TEST_FAIL,0.29,0.16,0.0227,0.003242,False,False
2026-07-19T17:21:47.563756,ENS_val_strat_153_res_v1_174,4m5Qsm7Er5eIcrkfPSmqWwz,TEST_FAIL,0.46,0.31,0.0408,0.002745,False,False
2026-07-19T17:23:11.788431,ENS_dyn_v2_817_mid_model_673,3XiGgu9Kr4Ofb40SXLr9X7a,TEST_FAIL,0.23,0.11,0.1415,0.000432,False,False
2026-07-19T17:24:26.196737,ENS_dyn_v2_817_res_v1_174,4mL9sv1rn4rna8B3admOtQt,TEST_FAIL,0.16,0.08,0.1033,0.000641,False,False
2026-07-19T17:26:11.753597,ENS_mid_model_673_res_v1_174,3SJpZTfD34jZajViEOUOYgd,TEST_FAIL,0.47,0.33,0.0433,0.002789,False,False
2026-07-19T17:26:29.386064,val_alpha_699,2B3NlTaPV4xg8JI1gNdxkM3i,FAILED,True,False
2026-07-19T17:26:33.990863,val_strat_337,1dWLZeLZ4ROc3o1gnUNuYiL,FAILED,True,False
2026-07-19T17:28:50.089067,val_idea_154,WfusC4794YSctP3ugjFTT7,TEST_FAIL,0.21,0.08,0.2582,0.000288,False,False
